id,name,slug,description,founded_year,headquarters,employees,funding,website,logo_url,screenshot_url,categories,integrations,certifications,badges,pricing_plans
"gen-1773370341220-0","Digital  Services 20","digital-services-20","A leading E-commerce company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Al Khobar, Saudi Arabia","201-500","Seed - $5M","https://digital-services-20.sa","https://logo.clearbit.com/digital-services-20.com",,"E-commerce","","","",""
"gen-1773370341222-1","Unified Cloud","unified-cloud","Unified Cloud offers cutting-edge agritech services to enterprises across the MENA region.",2021,"Taif, Saudi Arabia","51-200","Series A - $10M","https://unified-cloud.io","https://logo.clearbit.com/unified-cloud.com",,"AgriTech","","","",""
"gen-1773370341222-2","Unified Solutions","unified-solutions","Unified Solutions offers cutting-edge proptech services to enterprises across the MENA region.",2025,"Jeddah, Saudi Arabia","201-500","Bootstrap","https://unified-solutions.io","https://logo.clearbit.com/unified-solutions.com",,"PropTech","","","",""
"gen-1773370341222-3","Global AI","global-ai","A leading FoodTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Riyadh, Saudi Arabia","201-500","Series B - $5M","https://global-ai.com","https://logo.clearbit.com/global-ai.com",,"FoodTech","","","",""
"gen-1773370341222-4","Al Cloud","al-cloud","Al Cloud offers cutting-edge edtech services to enterprises across the MENA region.",2019,"Jubail, Saudi Arabia","1-10","Bootstrap","https://al-cloud.com","https://logo.clearbit.com/al-cloud.com",,"EdTech","","","",""
"gen-1773370341222-5","Neo Tech 25","neo-tech-25","Empowering Saudi businesses with scalable healthtech platforms and tools.",2019,"Al Khobar, Saudi Arabia","11-50","Series B - $5M","https://neo-tech-25.sa","https://logo.clearbit.com/neo-tech-25.com",,"HealthTech","","","",""
"gen-1773370341222-6","Al Solutions","al-solutions","Empowering Saudi businesses with scalable saas platforms platforms and tools.",2019,"Dhahran, Saudi Arabia","1-10","Series A - $25M","https://al-solutions.io","https://logo.clearbit.com/al-solutions.com",,"SaaS Platforms","","","",""
"gen-1773370341222-7","Future Innovations","future-innovations","Future Innovations offers cutting-edge logistics tech services to enterprises across the MENA region.",2018,"Jubail, Saudi Arabia","1-10","Series B - $75M","https://future-innovations.sa","https://logo.clearbit.com/future-innovations.com",,"Logistics Tech","","","",""
"gen-1773370341222-8","Advanced Labs","advanced-labs","Empowering Saudi businesses with scalable healthtech platforms and tools.",2024,"Riyadh, Saudi Arabia","11-50","Series A - $75M","https://advanced-labs.sa","https://logo.clearbit.com/advanced-labs.com",,"HealthTech","","","",""
"gen-1773370341222-9","Future  Services 96","future-services-96","A leading SaaS Platforms company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Taif, Saudi Arabia","51-200","Bootstrap","https://future-services-96.sa","https://logo.clearbit.com/future-services-96.com",,"SaaS Platforms","","","",""
"gen-1773370341222-10","Global Innovations","global-innovations","Global Innovations offers cutting-edge proptech services to enterprises across the MENA region.",2016,"Al Khobar, Saudi Arabia","500+","Bootstrap","https://global-innovations.io","https://logo.clearbit.com/global-innovations.com",,"PropTech","","","",""
"gen-1773370341222-11","Unified Platform","unified-platform","Unified Platform offers cutting-edge devops services to enterprises across the MENA region.",2022,"Taif, Saudi Arabia","500+","Bootstrap","https://unified-platform.sa","https://logo.clearbit.com/unified-platform.com",,"DevOps","","","",""
"gen-1773370341222-12","Smart Cloud 53","smart-cloud-53","Smart Cloud 53 offers cutting-edge insurtech services to enterprises across the MENA region.",2017,"Taif, Saudi Arabia","1-10","Series B - $10M","https://smart-cloud-53.io","https://logo.clearbit.com/smart-cloud-53.com",,"InsurTech","","","",""
"gen-1773370341222-13","Arabian Digital 92","arabian-digital-92","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Khobar, Saudi Arabia","1-10","Undisclosed","https://arabian-digital-92.sa","https://logo.clearbit.com/arabian-digital-92.com",,"PropTech","","","",""
"gen-1773370341222-14","Smart Digital","smart-digital","Smart Digital offers cutting-edge foodtech services to enterprises across the MENA region.",2022,"Medina, Saudi Arabia","1-10","Series A - $75M","https://smart-digital.com","https://logo.clearbit.com/smart-digital.com",,"FoodTech","","","",""
"gen-1773370341222-15","Global Digital 5","global-digital-5","A leading MarTech company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Khobar, Saudi Arabia","1-10","Undisclosed","https://global-digital-5.sa","https://logo.clearbit.com/global-digital-5.com",,"MarTech","","","",""
"gen-1773370341222-16","Advanced Systems","advanced-systems","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Jubail, Saudi Arabia","51-200","Seed - $15M","https://advanced-systems.com","https://logo.clearbit.com/advanced-systems.com",,"PropTech","","","",""
"gen-1773370341222-17","Arabian Digital 46","arabian-digital-46","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2020,"Khobar, Saudi Arabia","11-50","Bootstrap","https://arabian-digital-46.sa","https://logo.clearbit.com/arabian-digital-46.com",,"FinTech","","","",""
"gen-1773370341222-18","Al Innovations","al-innovations","Empowering Saudi businesses with scalable devops platforms and tools.",2022,"Taif, Saudi Arabia","51-200","Series B - $40M","https://al-innovations.com","https://logo.clearbit.com/al-innovations.com",,"DevOps","","","",""
"gen-1773370341222-19","Saudi AI","saudi-ai","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2022,"Dhahran, Saudi Arabia","500+","Series A - $5M","https://saudi-ai.com","https://logo.clearbit.com/saudi-ai.com",,"PropTech","","","",""
"gen-1773370341222-20","Future Labs 13","future-labs-13","Future Labs 13 offers cutting-edge fintech services to enterprises across the MENA region.",2025,"Al Khobar, Saudi Arabia","1-10","Undisclosed","https://future-labs-13.com","https://logo.clearbit.com/future-labs-13.com",,"FinTech","","","",""
"gen-1773370341222-21","Arabian Platform","arabian-platform","Empowering Saudi businesses with scalable fintech platforms and tools.",2023,"Taif, Saudi Arabia","1-10","Undisclosed","https://arabian-platform.io","https://logo.clearbit.com/arabian-platform.com",,"FinTech","","","",""
"gen-1773370341222-22","Smart Cloud","smart-cloud","Empowering Saudi businesses with scalable fintech platforms and tools.",2015,"Al Khobar, Saudi Arabia","500+","Series A - $2M","https://smart-cloud.sa","https://logo.clearbit.com/smart-cloud.com",,"FinTech","","","",""
"gen-1773370341222-23","Neo Digital 53","neo-digital-53","A leading FoodTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Dammam, Saudi Arabia","201-500","Series B - $75M","https://neo-digital-53.com","https://logo.clearbit.com/neo-digital-53.com",,"FoodTech","","","",""
"gen-1773370341222-24","Digital Cloud 87","digital-cloud-87","Digital Cloud 87 offers cutting-edge e-commerce services to enterprises across the MENA region.",2024,"Dammam, Saudi Arabia","201-500","Series A - $25M","https://digital-cloud-87.com","https://logo.clearbit.com/digital-cloud-87.com",,"E-commerce","","","",""
"gen-1773370341222-25","Smart AI","smart-ai","Smart AI offers cutting-edge cybersecurity services to enterprises across the MENA region.",2021,"Jubail, Saudi Arabia","11-50","Bootstrap","https://smart-ai.sa","https://logo.clearbit.com/smart-ai.com",,"Cybersecurity","","","",""
"gen-1773370341222-26","Advanced Solutions 99","advanced-solutions-99","A leading MarTech company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Dhahran, Saudi Arabia","11-50","Seed - $25M","https://advanced-solutions-99.sa","https://logo.clearbit.com/advanced-solutions-99.com",,"MarTech","","","",""
"gen-1773370341222-27","Neo Labs 48","neo-labs-48","Neo Labs 48 offers cutting-edge agritech services to enterprises across the MENA region.",2019,"Dammam, Saudi Arabia","500+","Seed - $75M","https://neo-labs-48.sa","https://logo.clearbit.com/neo-labs-48.com",,"AgriTech","","","",""
"gen-1773370341222-28","Smart Tech","smart-tech","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2024,"Jeddah, Saudi Arabia","1-10","Series A - $40M","https://smart-tech.com","https://logo.clearbit.com/smart-tech.com",,"PropTech","","","",""
"gen-1773370341222-29","Global Solutions","global-solutions","Global Solutions offers cutting-edge martech services to enterprises across the MENA region.",2015,"Jeddah, Saudi Arabia","51-200","Undisclosed","https://global-solutions.io","https://logo.clearbit.com/global-solutions.com",,"MarTech","","","",""
"gen-1773370341222-30","Future Systems","future-systems","A leading EdTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Taif, Saudi Arabia","51-200","Bootstrap","https://future-systems.sa","https://logo.clearbit.com/future-systems.com",,"EdTech","","","",""
"gen-1773370341222-31","Global Systems 36","global-systems-36","Global Systems 36 offers cutting-edge saas platforms services to enterprises across the MENA region.",2015,"Dhahran, Saudi Arabia","51-200","Series A - $5M","https://global-systems-36.com","https://logo.clearbit.com/global-systems-36.com",,"SaaS Platforms","","","",""
"gen-1773370341222-32","Future Labs","future-labs","Future Labs offers cutting-edge saas platforms services to enterprises across the MENA region.",2022,"Mecca, Saudi Arabia","1-10","Series A - $5M","https://future-labs.sa","https://logo.clearbit.com/future-labs.com",,"SaaS Platforms","","","",""
"gen-1773370341222-33","Neo Innovations","neo-innovations","Empowering Saudi businesses with scalable saas platforms platforms and tools.",2020,"Dammam, Saudi Arabia","51-200","Series B - $75M","https://neo-innovations.io","https://logo.clearbit.com/neo-innovations.com",,"SaaS Platforms","","","",""
"gen-1773370341222-34","Smart Solutions","smart-solutions","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2026,"Riyadh, Saudi Arabia","1-10","Seed - $40M","https://smart-solutions.com","https://logo.clearbit.com/smart-solutions.com",,"HealthTech","","","",""
"gen-1773370341222-35","Arabian Systems 88","arabian-systems-88","Empowering Saudi businesses with scalable devops platforms and tools.",2024,"Al Khobar, Saudi Arabia","1-10","Series A - $15M","https://arabian-systems-88.sa","https://logo.clearbit.com/arabian-systems-88.com",,"DevOps","","","",""
"gen-1773370341222-36","Global Solutions 63","global-solutions-63","Empowering Saudi businesses with scalable insurtech platforms and tools.",2018,"Mecca, Saudi Arabia","1-10","Series B - $15M","https://global-solutions-63.io","https://logo.clearbit.com/global-solutions-63.com",,"InsurTech","","","",""
"gen-1773370341222-37","Neo Cloud","neo-cloud","A leading SaaS Platforms company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Al Khobar, Saudi Arabia","1-10","Series A - $15M","https://neo-cloud.com","https://logo.clearbit.com/neo-cloud.com",,"SaaS Platforms","","","",""
"gen-1773370341222-38","Advanced Innovations","advanced-innovations","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Taif, Saudi Arabia","500+","Bootstrap","https://advanced-innovations.io","https://logo.clearbit.com/advanced-innovations.com",,"HealthTech","","","",""
"gen-1773370341222-39","Arabian Labs","arabian-labs","Empowering Saudi businesses with scalable healthtech platforms and tools.",2015,"Medina, Saudi Arabia","51-200","Series A - $5M","https://arabian-labs.sa","https://logo.clearbit.com/arabian-labs.com",,"HealthTech","","","",""
"gen-1773370341222-40","Al AI","al-ai","Empowering Saudi businesses with scalable hr tech platforms and tools.",2018,"Dammam, Saudi Arabia","201-500","Seed - $25M","https://al-ai.com","https://logo.clearbit.com/al-ai.com",,"HR Tech","","","",""
"gen-1773370341222-41","Advanced Platform","advanced-platform","Advanced Platform offers cutting-edge edtech services to enterprises across the MENA region.",2023,"Jeddah, Saudi Arabia","500+","Seed - $2M","https://advanced-platform.sa","https://logo.clearbit.com/advanced-platform.com",,"EdTech","","","",""
"gen-1773370341222-42","Global Platform","global-platform","Global Platform offers cutting-edge martech services to enterprises across the MENA region.",2022,"Medina, Saudi Arabia","201-500","Bootstrap","https://global-platform.com","https://logo.clearbit.com/global-platform.com",,"MarTech","","","",""
"gen-1773370341222-43","Digital Digital","digital-digital","Digital Digital offers cutting-edge ai & ml services to enterprises across the MENA region.",2021,"Khobar, Saudi Arabia","51-200","Series A - $40M","https://digital-digital.io","https://logo.clearbit.com/digital-digital.com",,"AI & ML","","","",""
"gen-1773370341222-44","Smart Tech 8","smart-tech-8","Empowering Saudi businesses with scalable edtech platforms and tools.",2017,"Jubail, Saudi Arabia","201-500","Undisclosed","https://smart-tech-8.sa","https://logo.clearbit.com/smart-tech-8.com",,"EdTech","","","",""
"gen-1773370341222-45","Arabian AI 50","arabian-ai-50","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2017,"Khobar, Saudi Arabia","11-50","Bootstrap","https://arabian-ai-50.io","https://logo.clearbit.com/arabian-ai-50.com",,"HealthTech","","","",""
"gen-1773370341222-46","Global Innovations 98","global-innovations-98","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2017,"Jeddah, Saudi Arabia","51-200","Bootstrap","https://global-innovations-98.io","https://logo.clearbit.com/global-innovations-98.com",,"FinTech","","","",""
"gen-1773370341222-47","Arabian Cloud","arabian-cloud","A leading InsurTech company in Saudi Arabia, providing innovative solutions for businesses.",2023,"Al Khobar, Saudi Arabia","201-500","Bootstrap","https://arabian-cloud.sa","https://logo.clearbit.com/arabian-cloud.com",,"InsurTech","","","",""
"gen-1773370341222-48","Advanced Digital","advanced-digital","Empowering Saudi businesses with scalable saas platforms platforms and tools.",2016,"Riyadh, Saudi Arabia","500+","Series A - $15M","https://advanced-digital.com","https://logo.clearbit.com/advanced-digital.com",,"SaaS Platforms","","","",""
"gen-1773370341222-49","Digital  Services 59","digital-services-59","Digital  Services 59 offers cutting-edge hr tech services to enterprises across the MENA region.",2023,"Mecca, Saudi Arabia","500+","Bootstrap","https://digital-services-59.com","https://logo.clearbit.com/digital-services-59.com",,"HR Tech","","","",""
"gen-1773370341222-50","Smart  Services 36","smart-services-36","Empowering Saudi businesses with scalable edtech platforms and tools.",2022,"Medina, Saudi Arabia","201-500","Series B - $15M","https://smart-services-36.sa","https://logo.clearbit.com/smart-services-36.com",,"EdTech","","","",""
"gen-1773370341222-51","Unified Digital 51","unified-digital-51","Empowering Saudi businesses with scalable martech platforms and tools.",2023,"Jubail, Saudi Arabia","51-200","Bootstrap","https://unified-digital-51.com","https://logo.clearbit.com/unified-digital-51.com",,"MarTech","","","",""
"gen-1773370341222-52","Global Digital","global-digital","Empowering Saudi businesses with scalable cybersecurity platforms and tools.",2021,"Taif, Saudi Arabia","51-200","Undisclosed","https://global-digital.sa","https://logo.clearbit.com/global-digital.com",,"Cybersecurity","","","",""
"gen-1773370341222-53","Advanced Tech 14","advanced-tech-14","Advanced Tech 14 offers cutting-edge cybersecurity services to enterprises across the MENA region.",2019,"Jeddah, Saudi Arabia","1-10","Bootstrap","https://advanced-tech-14.com","https://logo.clearbit.com/advanced-tech-14.com",,"Cybersecurity","","","",""
"gen-1773370341222-54","Saudi Innovations","saudi-innovations","A leading HR Tech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Mecca, Saudi Arabia","201-500","Undisclosed","https://saudi-innovations.com","https://logo.clearbit.com/saudi-innovations.com",,"HR Tech","","","",""
"gen-1773370341222-55","Advanced Cloud","advanced-cloud","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Dammam, Saudi Arabia","500+","Seed - $10M","https://advanced-cloud.com","https://logo.clearbit.com/advanced-cloud.com",,"HealthTech","","","",""
"gen-1773370341222-56","Global Digital 54","global-digital-54","Empowering Saudi businesses with scalable hr tech platforms and tools.",2022,"Jubail, Saudi Arabia","201-500","Series A - $2M","https://global-digital-54.io","https://logo.clearbit.com/global-digital-54.com",,"HR Tech","","","",""
"gen-1773370341222-57","Smart Tech 11","smart-tech-11","Smart Tech 11 offers cutting-edge agritech services to enterprises across the MENA region.",2017,"Medina, Saudi Arabia","500+","Series B - $15M","https://smart-tech-11.sa","https://logo.clearbit.com/smart-tech-11.com",,"AgriTech","","","",""
"gen-1773370341222-58","Smart Systems","smart-systems","Empowering Saudi businesses with scalable fintech platforms and tools.",2026,"Jeddah, Saudi Arabia","1-10","Undisclosed","https://smart-systems.io","https://logo.clearbit.com/smart-systems.com",,"FinTech","","","",""
"gen-1773370341222-59","Digital Tech","digital-tech","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Dhahran, Saudi Arabia","500+","Series A - $75M","https://digital-tech.sa","https://logo.clearbit.com/digital-tech.com",,"PropTech","","","",""
"gen-1773370341222-60","Neo Solutions","neo-solutions","A leading Logistics Tech company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Jubail, Saudi Arabia","500+","Bootstrap","https://neo-solutions.sa","https://logo.clearbit.com/neo-solutions.com",,"Logistics Tech","","","",""
"gen-1773370341222-61","Digital Solutions","digital-solutions","A leading AgriTech company in Saudi Arabia, providing innovative solutions for businesses.",2024,"Jubail, Saudi Arabia","500+","Bootstrap","https://digital-solutions.io","https://logo.clearbit.com/digital-solutions.com",,"AgriTech","","","",""
"gen-1773370341222-62","Neo Tech","neo-tech","Empowering Saudi businesses with scalable fintech platforms and tools.",2019,"Mecca, Saudi Arabia","1-10","Series B - $15M","https://neo-tech.io","https://logo.clearbit.com/neo-tech.com",,"FinTech","","","",""
"gen-1773370341222-63","Future AI 57","future-ai-57","Future AI 57 offers cutting-edge insurtech services to enterprises across the MENA region.",2019,"Jubail, Saudi Arabia","500+","Series A - $2M","https://future-ai-57.sa","https://logo.clearbit.com/future-ai-57.com",,"InsurTech","","","",""
"gen-1773370341222-64","Unified Innovations","unified-innovations","Empowering Saudi businesses with scalable e-commerce platforms and tools.",2022,"Al Khobar, Saudi Arabia","11-50","Undisclosed","https://unified-innovations.io","https://logo.clearbit.com/unified-innovations.com",,"E-commerce","","","",""
"gen-1773370341222-65","Unified Systems","unified-systems","Empowering Saudi businesses with scalable insurtech platforms and tools.",2025,"Mecca, Saudi Arabia","51-200","Series B - $10M","https://unified-systems.io","https://logo.clearbit.com/unified-systems.com",,"InsurTech","","","",""
"gen-1773370341222-66","Global Cloud","global-cloud","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2026,"Medina, Saudi Arabia","1-10","Series B - $10M","https://global-cloud.com","https://logo.clearbit.com/global-cloud.com",,"FinTech","","","",""
"gen-1773370341222-67","Neo Platform","neo-platform","Empowering Saudi businesses with scalable cybersecurity platforms and tools.",2022,"Al Khobar, Saudi Arabia","51-200","Seed - $5M","https://neo-platform.io","https://logo.clearbit.com/neo-platform.com",,"Cybersecurity","","","",""
"gen-1773370341222-68","Future AI 55","future-ai-55","Future AI 55 offers cutting-edge e-commerce services to enterprises across the MENA region.",2025,"Mecca, Saudi Arabia","500+","Series B - $25M","https://future-ai-55.io","https://logo.clearbit.com/future-ai-55.com",,"E-commerce","","","",""
"gen-1773370341222-69","Global Systems","global-systems","Empowering Saudi businesses with scalable proptech platforms and tools.",2024,"Dammam, Saudi Arabia","51-200","Bootstrap","https://global-systems.io","https://logo.clearbit.com/global-systems.com",,"PropTech","","","",""
"gen-1773370341222-70","Future Cloud","future-cloud","A leading SaaS Platforms company in Saudi Arabia, providing innovative solutions for businesses.",2022,"Jubail, Saudi Arabia","500+","Bootstrap","https://future-cloud.com","https://logo.clearbit.com/future-cloud.com",,"SaaS Platforms","","","",""
"gen-1773370341222-71","Future Solutions","future-solutions","Empowering Saudi businesses with scalable hr tech platforms and tools.",2016,"Jeddah, Saudi Arabia","11-50","Bootstrap","https://future-solutions.io","https://logo.clearbit.com/future-solutions.com",,"HR Tech","","","",""
"gen-1773370341222-72","Al Cloud 45","al-cloud-45","A leading HR Tech company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Taif, Saudi Arabia","201-500","Series A - $15M","https://al-cloud-45.io","https://logo.clearbit.com/al-cloud-45.com",,"HR Tech","","","",""
"gen-1773370341222-73","Future Labs 66","future-labs-66","Future Labs 66 offers cutting-edge agritech services to enterprises across the MENA region.",2016,"Medina, Saudi Arabia","1-10","Series B - $10M","https://future-labs-66.io","https://logo.clearbit.com/future-labs-66.com",,"AgriTech","","","",""
"gen-1773370341222-74","Advanced  Services 72","advanced-services-72","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Dhahran, Saudi Arabia","201-500","Seed - $40M","https://advanced-services-72.com","https://logo.clearbit.com/advanced-services-72.com",,"FinTech","","","",""
