id,name,slug,description,founded_year,headquarters,employees,funding,website,logo_url,screenshot_url,categories,integrations,certifications,badges,pricing_plans
"gen-1773370341222-75","Future Digital 37","future-digital-37","Empowering Saudi businesses with scalable agritech platforms and tools.",2017,"Dammam, Saudi Arabia","11-50","Seed - $75M","https://future-digital-37.io","https://logo.clearbit.com/future-digital-37.com",,"AgriTech","","","",""
"gen-1773370341222-76","Al Tech 80","al-tech-80","Empowering Saudi businesses with scalable martech platforms and tools.",2024,"Riyadh, Saudi Arabia","51-200","Undisclosed","https://al-tech-80.sa","https://logo.clearbit.com/al-tech-80.com",,"MarTech","","","",""
"gen-1773370341222-77","Arabian AI","arabian-ai","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Dammam, Saudi Arabia","500+","Undisclosed","https://arabian-ai.com","https://logo.clearbit.com/arabian-ai.com",,"HealthTech","","","",""
"gen-1773370341222-78","Saudi Platform","saudi-platform","Empowering Saudi businesses with scalable cybersecurity platforms and tools.",2016,"Al Khobar, Saudi Arabia","51-200","Bootstrap","https://saudi-platform.sa","https://logo.clearbit.com/saudi-platform.com",,"Cybersecurity","","","",""
"gen-1773370341222-79","Unified AI","unified-ai","Unified AI offers cutting-edge edtech services to enterprises across the MENA region.",2021,"Riyadh, Saudi Arabia","51-200","Bootstrap","https://unified-ai.sa","https://logo.clearbit.com/unified-ai.com",,"EdTech","","","",""
"gen-1773370341222-80","Saudi Labs","saudi-labs","A leading InsurTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Riyadh, Saudi Arabia","201-500","Seed - $25M","https://saudi-labs.com","https://logo.clearbit.com/saudi-labs.com",,"InsurTech","","","",""
"gen-1773370341222-81","Saudi Solutions","saudi-solutions","A leading MarTech company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Khobar, Saudi Arabia","1-10","Series B - $25M","https://saudi-solutions.io","https://logo.clearbit.com/saudi-solutions.com",,"MarTech","","","",""
"gen-1773370341222-82","Unified Tech 91","unified-tech-91","Unified Tech 91 offers cutting-edge saas platforms services to enterprises across the MENA region.",2020,"Al Khobar, Saudi Arabia","11-50","Undisclosed","https://unified-tech-91.com","https://logo.clearbit.com/unified-tech-91.com",,"SaaS Platforms","","","",""
"gen-1773370341222-83","Al Systems","al-systems","A leading AgriTech company in Saudi Arabia, providing innovative solutions for businesses.",2023,"Mecca, Saudi Arabia","11-50","Undisclosed","https://al-systems.io","https://logo.clearbit.com/al-systems.com",,"AgriTech","","","",""
"gen-1773370341222-84","Digital Cloud 49","digital-cloud-49","Empowering Saudi businesses with scalable logistics tech platforms and tools.",2019,"Dhahran, Saudi Arabia","1-10","Undisclosed","https://digital-cloud-49.sa","https://logo.clearbit.com/digital-cloud-49.com",,"Logistics Tech","","","",""
"gen-1773370341222-85","Digital Systems 75","digital-systems-75","Digital Systems 75 offers cutting-edge saas platforms services to enterprises across the MENA region.",2015,"Riyadh, Saudi Arabia","1-10","Series A - $10M","https://digital-systems-75.io","https://logo.clearbit.com/digital-systems-75.com",,"SaaS Platforms","","","",""
"gen-1773370341222-86","Smart Labs","smart-labs","Empowering Saudi businesses with scalable martech platforms and tools.",2016,"Dammam, Saudi Arabia","201-500","Series A - $75M","https://smart-labs.io","https://logo.clearbit.com/smart-labs.com",,"MarTech","","","",""
"gen-1773370341222-87","Future Digital","future-digital","A leading DevOps company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Mecca, Saudi Arabia","500+","Series A - $40M","https://future-digital.sa","https://logo.clearbit.com/future-digital.com",,"DevOps","","","",""
"gen-1773370341222-88","Arabian Tech","arabian-tech","Empowering Saudi businesses with scalable insurtech platforms and tools.",2023,"Khobar, Saudi Arabia","201-500","Bootstrap","https://arabian-tech.sa","https://logo.clearbit.com/arabian-tech.com",,"InsurTech","","","",""
"gen-1773370341222-89","Future  Services","future-services","A leading E-commerce company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Dhahran, Saudi Arabia","500+","Undisclosed","https://future-services.com","https://logo.clearbit.com/future-services.com",,"E-commerce","","","",""
"gen-1773370341222-90","Arabian  Services","arabian-services","Empowering Saudi businesses with scalable proptech platforms and tools.",2018,"Dhahran, Saudi Arabia","201-500","Undisclosed","https://arabian-services.sa","https://logo.clearbit.com/arabian-services.com",,"PropTech","","","",""
"gen-1773370341222-91","Unified Systems 82","unified-systems-82","A leading Cybersecurity company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Mecca, Saudi Arabia","51-200","Series B - $40M","https://unified-systems-82.com","https://logo.clearbit.com/unified-systems-82.com",,"Cybersecurity","","","",""
"gen-1773370341222-92","Neo Digital 23","neo-digital-23","Neo Digital 23 offers cutting-edge healthtech services to enterprises across the MENA region.",2021,"Medina, Saudi Arabia","11-50","Series A - $5M","https://neo-digital-23.sa","https://logo.clearbit.com/neo-digital-23.com",,"HealthTech","","","",""
"gen-1773370341222-93","Advanced Platform 6","advanced-platform-6","Empowering Saudi businesses with scalable martech platforms and tools.",2026,"Khobar, Saudi Arabia","11-50","Undisclosed","https://advanced-platform-6.com","https://logo.clearbit.com/advanced-platform-6.com",,"MarTech","","","",""
"gen-1773370341222-94","Advanced  Services 71","advanced-services-71","Advanced  Services 71 offers cutting-edge hr tech services to enterprises across the MENA region.",2024,"Al Khobar, Saudi Arabia","11-50","Series B - $15M","https://advanced-services-71.sa","https://logo.clearbit.com/advanced-services-71.com",,"HR Tech","","","",""
"gen-1773370341222-95","Advanced Solutions","advanced-solutions","Empowering Saudi businesses with scalable hr tech platforms and tools.",2020,"Jeddah, Saudi Arabia","500+","Undisclosed","https://advanced-solutions.sa","https://logo.clearbit.com/advanced-solutions.com",,"HR Tech","","","",""
"gen-1773370341222-96","Digital Innovations","digital-innovations","Digital Innovations offers cutting-edge fintech services to enterprises across the MENA region.",2016,"Jeddah, Saudi Arabia","201-500","Bootstrap","https://digital-innovations.com","https://logo.clearbit.com/digital-innovations.com",,"FinTech","","","",""
"gen-1773370341222-97","Digital  Services 99","digital-services-99","A leading EdTech company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Taif, Saudi Arabia","201-500","Bootstrap","https://digital-services-99.io","https://logo.clearbit.com/digital-services-99.com",,"EdTech","","","",""
"gen-1773370341222-98","Neo Tech 90","neo-tech-90","Empowering Saudi businesses with scalable healthtech platforms and tools.",2023,"Taif, Saudi Arabia","11-50","Series A - $15M","https://neo-tech-90.sa","https://logo.clearbit.com/neo-tech-90.com",,"HealthTech","","","",""
"gen-1773370341222-99","Smart Platform 31","smart-platform-31","A leading Logistics Tech company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Dammam, Saudi Arabia","11-50","Series A - $5M","https://smart-platform-31.sa","https://logo.clearbit.com/smart-platform-31.com",,"Logistics Tech","","","",""
"gen-1773370341222-100","Global Systems 3","global-systems-3","A leading E-commerce company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Al Khobar, Saudi Arabia","201-500","Series A - $15M","https://global-systems-3.sa","https://logo.clearbit.com/global-systems-3.com",,"E-commerce","","","",""
"gen-1773370341222-101","Neo Digital 67","neo-digital-67","Empowering Saudi businesses with scalable devops platforms and tools.",2021,"Dhahran, Saudi Arabia","11-50","Bootstrap","https://neo-digital-67.sa","https://logo.clearbit.com/neo-digital-67.com",,"DevOps","","","",""
"gen-1773370341222-102","Digital Platform","digital-platform","Digital Platform offers cutting-edge healthtech services to enterprises across the MENA region.",2018,"Dhahran, Saudi Arabia","500+","Seed - $10M","https://digital-platform.io","https://logo.clearbit.com/digital-platform.com",,"HealthTech","","","",""
"gen-1773370341222-103","Unified Tech","unified-tech","Unified Tech offers cutting-edge insurtech services to enterprises across the MENA region.",2023,"Dammam, Saudi Arabia","500+","Undisclosed","https://unified-tech.io","https://logo.clearbit.com/unified-tech.com",,"InsurTech","","","",""
"gen-1773370341222-104","Saudi Digital 3","saudi-digital-3","Empowering Saudi businesses with scalable hr tech platforms and tools.",2021,"Al Khobar, Saudi Arabia","51-200","Seed - $2M","https://saudi-digital-3.io","https://logo.clearbit.com/saudi-digital-3.com",,"HR Tech","","","",""
"gen-1773370341222-105","Global Tech","global-tech","A leading DevOps company in Saudi Arabia, providing innovative solutions for businesses.",2020,"Mecca, Saudi Arabia","51-200","Series A - $15M","https://global-tech.sa","https://logo.clearbit.com/global-tech.com",,"DevOps","","","",""
"gen-1773370341222-106","Digital Systems 76","digital-systems-76","A leading AI & ML company in Saudi Arabia, providing innovative solutions for businesses.",2020,"Al Khobar, Saudi Arabia","1-10","Seed - $40M","https://digital-systems-76.io","https://logo.clearbit.com/digital-systems-76.com",,"AI & ML","","","",""
"gen-1773370341222-107","Smart  Services","smart-services","Smart  Services offers cutting-edge martech services to enterprises across the MENA region.",2019,"Jubail, Saudi Arabia","500+","Series A - $15M","https://smart-services.io","https://logo.clearbit.com/smart-services.com",,"MarTech","","","",""
"gen-1773370341222-108","Unified Platform 80","unified-platform-80","Unified Platform 80 offers cutting-edge insurtech services to enterprises across the MENA region.",2026,"Dhahran, Saudi Arabia","500+","Undisclosed","https://unified-platform-80.sa","https://logo.clearbit.com/unified-platform-80.com",,"InsurTech","","","",""
"gen-1773370341222-109","Digital AI","digital-ai","Digital AI offers cutting-edge healthtech services to enterprises across the MENA region.",2024,"Medina, Saudi Arabia","201-500","Undisclosed","https://digital-ai.com","https://logo.clearbit.com/digital-ai.com",,"HealthTech","","","",""
"gen-1773370341222-110","Future Platform 4","future-platform-4","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Al Khobar, Saudi Arabia","500+","Series A - $15M","https://future-platform-4.com","https://logo.clearbit.com/future-platform-4.com",,"HealthTech","","","",""
"gen-1773370341222-111","Advanced Platform 31","advanced-platform-31","A leading SaaS Platforms company in Saudi Arabia, providing innovative solutions for businesses.",2022,"Al Khobar, Saudi Arabia","500+","Undisclosed","https://advanced-platform-31.com","https://logo.clearbit.com/advanced-platform-31.com",,"SaaS Platforms","","","",""
"gen-1773370341222-112","Al Labs","al-labs","A leading DevOps company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Al Khobar, Saudi Arabia","201-500","Undisclosed","https://al-labs.io","https://logo.clearbit.com/al-labs.com",,"DevOps","","","",""
"gen-1773370341222-113","Global AI 76","global-ai-76","Global AI 76 offers cutting-edge edtech services to enterprises across the MENA region.",2015,"Jubail, Saudi Arabia","201-500","Undisclosed","https://global-ai-76.io","https://logo.clearbit.com/global-ai-76.com",,"EdTech","","","",""
"gen-1773370341222-114","Digital Digital 97","digital-digital-97","A leading DevOps company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Khobar, Saudi Arabia","11-50","Bootstrap","https://digital-digital-97.com","https://logo.clearbit.com/digital-digital-97.com",,"DevOps","","","",""
"gen-1773370341222-115","Al Digital 2","al-digital-2","Empowering Saudi businesses with scalable logistics tech platforms and tools.",2020,"Jeddah, Saudi Arabia","11-50","Seed - $40M","https://al-digital-2.sa","https://logo.clearbit.com/al-digital-2.com",,"Logistics Tech","","","",""
"gen-1773370341222-116","Neo Platform 21","neo-platform-21","Neo Platform 21 offers cutting-edge hr tech services to enterprises across the MENA region.",2015,"Riyadh, Saudi Arabia","201-500","Seed - $2M","https://neo-platform-21.sa","https://logo.clearbit.com/neo-platform-21.com",,"HR Tech","","","",""
"gen-1773370341222-117","Future Platform 54","future-platform-54","Future Platform 54 offers cutting-edge ai & ml services to enterprises across the MENA region.",2015,"Mecca, Saudi Arabia","1-10","Series A - $15M","https://future-platform-54.io","https://logo.clearbit.com/future-platform-54.com",,"AI & ML","","","",""
"gen-1773370341222-118","Advanced Tech 69","advanced-tech-69","Advanced Tech 69 offers cutting-edge cybersecurity services to enterprises across the MENA region.",2026,"Khobar, Saudi Arabia","1-10","Series B - $25M","https://advanced-tech-69.sa","https://logo.clearbit.com/advanced-tech-69.com",,"Cybersecurity","","","",""
"gen-1773370341222-119","Digital Cloud 53","digital-cloud-53","Empowering Saudi businesses with scalable cybersecurity platforms and tools.",2025,"Al Khobar, Saudi Arabia","500+","Undisclosed","https://digital-cloud-53.sa","https://logo.clearbit.com/digital-cloud-53.com",,"Cybersecurity","","","",""
"gen-1773370341222-120","Unified Labs","unified-labs","Empowering Saudi businesses with scalable martech platforms and tools.",2017,"Al Khobar, Saudi Arabia","500+","Bootstrap","https://unified-labs.sa","https://logo.clearbit.com/unified-labs.com",,"MarTech","","","",""
"gen-1773370341222-121","Unified  Services","unified-services","Unified  Services offers cutting-edge edtech services to enterprises across the MENA region.",2018,"Al Khobar, Saudi Arabia","11-50","Series A - $25M","https://unified-services.sa","https://logo.clearbit.com/unified-services.com",,"EdTech","","","",""
"gen-1773370341222-122","Al Innovations 50","al-innovations-50","A leading AgriTech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Al Khobar, Saudi Arabia","11-50","Undisclosed","https://al-innovations-50.com","https://logo.clearbit.com/al-innovations-50.com",,"AgriTech","","","",""
"gen-1773370341222-123","Al  Services","al-services","A leading AgriTech company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Dammam, Saudi Arabia","11-50","Seed - $25M","https://al-services.com","https://logo.clearbit.com/al-services.com",,"AgriTech","","","",""
"gen-1773370341222-124","Advanced Tech","advanced-tech","A leading FoodTech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Medina, Saudi Arabia","201-500","Series A - $5M","https://advanced-tech.io","https://logo.clearbit.com/advanced-tech.com",,"FoodTech","","","",""
"gen-1773370341222-125","Saudi Systems 91","saudi-systems-91","A leading DevOps company in Saudi Arabia, providing innovative solutions for businesses.",2021,"Khobar, Saudi Arabia","1-10","Series B - $40M","https://saudi-systems-91.com","https://logo.clearbit.com/saudi-systems-91.com",,"DevOps","","","",""
"gen-1773370341222-126","Future Cloud 32","future-cloud-32","Empowering Saudi businesses with scalable logistics tech platforms and tools.",2022,"Riyadh, Saudi Arabia","201-500","Seed - $75M","https://future-cloud-32.io","https://logo.clearbit.com/future-cloud-32.com",,"Logistics Tech","","","",""
"gen-1773370341222-127","Future AI","future-ai","A leading EdTech company in Saudi Arabia, providing innovative solutions for businesses.",2018,"Jeddah, Saudi Arabia","51-200","Bootstrap","https://future-ai.com","https://logo.clearbit.com/future-ai.com",,"EdTech","","","",""
"gen-1773370341222-128","Neo Platform 53","neo-platform-53","Empowering Saudi businesses with scalable saas platforms platforms and tools.",2022,"Riyadh, Saudi Arabia","500+","Bootstrap","https://neo-platform-53.io","https://logo.clearbit.com/neo-platform-53.com",,"SaaS Platforms","","","",""
"gen-1773370341222-129","Al Solutions 88","al-solutions-88","A leading EdTech company in Saudi Arabia, providing innovative solutions for businesses.",2024,"Al Khobar, Saudi Arabia","11-50","Seed - $75M","https://al-solutions-88.com","https://logo.clearbit.com/al-solutions-88.com",,"EdTech","","","",""
"gen-1773370341222-130","Unified Solutions 75","unified-solutions-75","Empowering Saudi businesses with scalable insurtech platforms and tools.",2024,"Al Khobar, Saudi Arabia","201-500","Series B - $10M","https://unified-solutions-75.sa","https://logo.clearbit.com/unified-solutions-75.com",,"InsurTech","","","",""
"gen-1773370341222-131","Arabian Solutions","arabian-solutions","Arabian Solutions offers cutting-edge hr tech services to enterprises across the MENA region.",2017,"Jeddah, Saudi Arabia","51-200","Seed - $2M","https://arabian-solutions.com","https://logo.clearbit.com/arabian-solutions.com",,"HR Tech","","","",""
"gen-1773370341222-132","Global Labs","global-labs","Global Labs offers cutting-edge cybersecurity services to enterprises across the MENA region.",2026,"Jubail, Saudi Arabia","51-200","Series B - $15M","https://global-labs.com","https://logo.clearbit.com/global-labs.com",,"Cybersecurity","","","",""
"gen-1773370341222-133","Neo  Services","neo-services","Neo  Services offers cutting-edge ai & ml services to enterprises across the MENA region.",2017,"Jubail, Saudi Arabia","500+","Seed - $40M","https://neo-services.io","https://logo.clearbit.com/neo-services.com",,"AI & ML","","","",""
"gen-1773370341222-134","Future Platform 44","future-platform-44","Future Platform 44 offers cutting-edge e-commerce services to enterprises across the MENA region.",2018,"Taif, Saudi Arabia","201-500","Undisclosed","https://future-platform-44.com","https://logo.clearbit.com/future-platform-44.com",,"E-commerce","","","",""
"gen-1773370341222-135","Arabian Digital 72","arabian-digital-72","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2015,"Dhahran, Saudi Arabia","201-500","Series B - $40M","https://arabian-digital-72.io","https://logo.clearbit.com/arabian-digital-72.com",,"FinTech","","","",""
"gen-1773370341222-136","Future Tech","future-tech","Future Tech offers cutting-edge cybersecurity services to enterprises across the MENA region.",2023,"Mecca, Saudi Arabia","51-200","Undisclosed","https://future-tech.sa","https://logo.clearbit.com/future-tech.com",,"Cybersecurity","","","",""
"gen-1773370341222-137","Advanced Cloud 74","advanced-cloud-74","Advanced Cloud 74 offers cutting-edge ai & ml services to enterprises across the MENA region.",2019,"Jubail, Saudi Arabia","1-10","Seed - $25M","https://advanced-cloud-74.sa","https://logo.clearbit.com/advanced-cloud-74.com",,"AI & ML","","","",""
"gen-1773370341222-138","Arabian Innovations 80","arabian-innovations-80","Empowering Saudi businesses with scalable healthtech platforms and tools.",2015,"Jeddah, Saudi Arabia","11-50","Undisclosed","https://arabian-innovations-80.io","https://logo.clearbit.com/arabian-innovations-80.com",,"HealthTech","","","",""
"gen-1773370341222-139","Neo AI 17","neo-ai-17","Neo AI 17 offers cutting-edge agritech services to enterprises across the MENA region.",2021,"Dhahran, Saudi Arabia","500+","Undisclosed","https://neo-ai-17.sa","https://logo.clearbit.com/neo-ai-17.com",,"AgriTech","","","",""
"gen-1773370341222-140","Global Digital 38","global-digital-38","Global Digital 38 offers cutting-edge hr tech services to enterprises across the MENA region.",2026,"Medina, Saudi Arabia","201-500","Bootstrap","https://global-digital-38.io","https://logo.clearbit.com/global-digital-38.com",,"HR Tech","","","",""
"gen-1773370341222-141","Digital Labs","digital-labs","A leading HealthTech company in Saudi Arabia, providing innovative solutions for businesses.",2026,"Riyadh, Saudi Arabia","201-500","Series A - $15M","https://digital-labs.io","https://logo.clearbit.com/digital-labs.com",,"HealthTech","","","",""
"gen-1773370341222-142","Future Innovations 87","future-innovations-87","A leading AI & ML company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Khobar, Saudi Arabia","201-500","Series B - $25M","https://future-innovations-87.com","https://logo.clearbit.com/future-innovations-87.com",,"AI & ML","","","",""
"gen-1773370341222-143","Saudi Labs 71","saudi-labs-71","Saudi Labs 71 offers cutting-edge foodtech services to enterprises across the MENA region.",2021,"Riyadh, Saudi Arabia","1-10","Seed - $10M","https://saudi-labs-71.sa","https://logo.clearbit.com/saudi-labs-71.com",,"FoodTech","","","",""
"gen-1773370341222-144","Arabian Systems","arabian-systems","Empowering Saudi businesses with scalable agritech platforms and tools.",2015,"Taif, Saudi Arabia","201-500","Seed - $25M","https://arabian-systems.com","https://logo.clearbit.com/arabian-systems.com",,"AgriTech","","","",""
"gen-1773370341222-145","Neo Digital","neo-digital","A leading AI & ML company in Saudi Arabia, providing innovative solutions for businesses.",2023,"Khobar, Saudi Arabia","51-200","Undisclosed","https://neo-digital.com","https://logo.clearbit.com/neo-digital.com",,"AI & ML","","","",""
"gen-1773370341222-146","Al Digital 67","al-digital-67","A leading E-commerce company in Saudi Arabia, providing innovative solutions for businesses.",2017,"Medina, Saudi Arabia","11-50","Bootstrap","https://al-digital-67.com","https://logo.clearbit.com/al-digital-67.com",,"E-commerce","","","",""
"gen-1773370341222-147","Saudi Innovations 59","saudi-innovations-59","A leading FinTech company in Saudi Arabia, providing innovative solutions for businesses.",2026,"Al Khobar, Saudi Arabia","500+","Series A - $75M","https://saudi-innovations-59.sa","https://logo.clearbit.com/saudi-innovations-59.com",,"FinTech","","","",""
"gen-1773370341222-148","Unified Tech 32","unified-tech-32","Unified Tech 32 offers cutting-edge fintech services to enterprises across the MENA region.",2023,"Riyadh, Saudi Arabia","11-50","Bootstrap","https://unified-tech-32.io","https://logo.clearbit.com/unified-tech-32.com",,"FinTech","","","",""
"gen-1773370341222-149","Global Tech 91","global-tech-91","Empowering Saudi businesses with scalable e-commerce platforms and tools.",2022,"Khobar, Saudi Arabia","1-10","Bootstrap","https://global-tech-91.com","https://logo.clearbit.com/global-tech-91.com",,"E-commerce","","","",""